ssc_p,hsc_p,degree_p
69.0,73.0,65.0
62.0,72.0,65.0
87.0,87.0,68.0
62.0,62.0,60.0
79.0,76.0,85.0
56.28,62.83,59.79
58.0,40.0,59.0
59.0,62.0,77.5
59.0,60.0,56.0
48.0,51.0,58.0
41.0,42.0,60.0
55.6,51.0,57.5
80.0,80.0,72.0
67.0,68.0,64.0
80.92,78.5,67.0
83.0,74.0,66.0
69.8,60.8,72.23
73.0,58.0,66.0
58.0,60.0,72.0
64.0,67.0,69.6
73.24,50.83,64.27
60.8,68.4,64.6
65.0,68.0,69.0
73.0,78.0,73.0
63.0,72.0,68.0
61.8,47.0,54.38
77.0,86.0,56.0
85.0,90.0,82.0
74.0,63.16,65.0
69.0,62.0,69.0
81.7,63.0,67.0
61.0,81.0,66.4
62.0,65.0,60.0
63.0,62.0,68.0
52.58,54.6,50.2
80.0,70.0,72.0
74.0,66.0,58.0
55.0,67.0,64.0
74.9,57.0,62.0
54.4,61.12,56.2
62.0,47.0,50.0
63.0,67.0,74.0
70.0,63.0,70.0
69.0,65.0,57.0
62.0,67.0,58.0
56.0,52.0,52.0
77.4,60.0,64.74
52.0,49.0,58.0
55.68,61.33,56.87
79.0,76.0,65.6
74.0,73.0,73.0
54.0,77.6,69.2
70.0,63.0,66.0
76.0,64.0,72.0
77.67,64.89,70.67
70.5,62.5,61.0
52.0,55.0,56.3
52.0,52.0,55.0
49.0,39.0,65.0
85.0,60.0,73.43
69.0,62.0,66.0
65.2,61.4,64.8
47.0,55.0,65.0
58.0,61.0,61.0
69.6,68.4,78.3
83.84,89.83,77.2
77.44,92.0,72.0
52.0,50.0,61.0
87.0,74.0,65.0
69.0,63.0,65.0
62.0,51.0,52.0
61.0,82.0,69.0
75.2,73.2,68.4
53.0,63.0,60.0
63.0,67.0,64.0
83.33,78.0,61.0
85.8,73.6,73.3
73.0,64.0,77.0
77.0,73.0,81.0
76.0,70.0,76.0
67.0,61.0,72.0
76.76,76.5,67.5
72.0,56.0,69.0
89.4,65.66,71.25
54.2,63.0,58.0
66.0,76.0,72.0
75.0,70.29,71.0
76.0,80.0,78.0
63.4,67.2,60.0
67.0,67.0,73.0
67.0,63.0,72.0
56.6,64.8,70.2
43.0,60.0,65.0
83.96,53.0,91.0
58.0,62.0,64.0
65.0,65.0,75.0
71.0,58.66,58.0
52.0,64.0,61.0
52.0,62.0,54.0
63.0,66.0,64.0
63.0,67.0,66.0
51.0,44.0,57.0
68.0,76.0,74.0
67.0,53.0,65.0
54.0,47.0,57.0
65.0,64.8,69.5
84.0,75.0,69.0
67.0,63.0,64.0
64.0,73.5,73.0
62.0,63.0,64.0
60.23,69.0,66.0
66.0,64.0,60.0
79.0,61.0,75.5
49.0,59.0,65.0
77.0,87.0,59.0
64.0,80.0,65.0
72.0,63.0,77.5
77.8,64.0,64.2
73.0,97.0,79.0
67.0,70.0,65.0
87.0,65.0,81.0
86.5,64.2,67.4
66.5,66.8,69.3
82.0,90.0,83.0
66.0,62.0,73.0
74.0,60.0,69.0
77.0,70.0,59.0
45.0,57.0,58.0
63.0,66.2,65.6
73.0,63.0,66.0
67.16,72.5,63.35
78.0,77.0,80.0
67.0,91.0,58.0
64.6,83.83,71.72
73.0,79.0,72.0
80.6,82.0,77.6
66.5,62.5,60.9
84.2,69.4,65.0
74.0,59.0,73.0
73.96,79.0,67.0
80.0,73.0,75.0
65.0,75.0,69.0
84.0,73.0,73.0
58.0,70.0,61.0
